userId,movieId,rating
1,2,3.5
1,29,3.5
1,32,3.5
1,47,3.5
1,50,3.5
1,112,3.5
1,151,4
1,223,4
1,253,4
1,260,4
1,293,4
1,296,4
1,318,4
1,337,3.5
1,367,3.5
1,541,4
1,589,3.5
1,593,3.5
1,653,3
1,919,3.5
1,924,3.5
1,1009,3.5
1,1036,4
1,1079,4
1,1080,3.5
1,1089,3.5
1,1090,4
1,1097,4
1,1136,3.5
1,1193,3.5
1,1196,4.5
1,1198,4.5
1,1200,4
1,1201,3
1,1208,3.5
1,1214,4
1,1215,4
1,1217,3.5
1,1219,4
1,1222,3.5
1,1240,4
1,1243,3
1,1246,3.5
1,1249,4
1,1258,4
1,1259,4
1,1261,3.5
1,1262,3.5
1,1266,4
1,1278,4
1,1291,3.5
1,1304,3
1,1321,4
1,1333,4
1,1348,3.5
1,1350,3.5
1,1358,4
1,1370,3
1,1374,4
1,1387,4
1,1525,3
1,1584,3.5
1,1750,3.5
1,1848,3.5
1,1920,3.5
1,1967,4
1,1994,3.5
1,1997,3.5
2,3,4
2,62,5
2,70,5
2,110,4
2,242,3
2,260,5
2,266,5
2,469,3
2,480,5
2,541,5
2,589,5
2,891,2
2,908,4
2,924,5
2,1121,3
2,1196,5
2,1210,5
2,1214,5
2,1249,5
2,1259,5
2,1270,5
2,1327,5
2,1356,5
2,1544,5
2,1580,4
2,1673,4
2,1748,5
2,1965,3
2,1969,2
2,1970,2
2,1971,2
2,1972,2
2,1973,3
2,1974,5
2,1986,2
3,1,4
3,24,3
3,32,4
3,50,5
3,160,3
3,173,2
3,175,5
3,196,3
3,223,5
3,260,5
3,316,5
3,318,5
3,329,5
3,337,3
3,440,3
3,442,3
3,457,5
3,480,5
3,490,5
3,512,2
3,541,5
3,589,4
3,593,5
3,610,4
3,718,3
3,780,3
3,788,4
3,858,5
3,904,5
3,905,3
3,919,4
3,924,5
3,953,5
3,968,3
3,1037,3
3,1060,5
3,1073,5
3,1077,4
3,1079,4
3,1084,5
3,1089,5
3,1094,4
3,1097,5
3,1103,4
3,1125,4
3,1127,3
3,1129,5
3,1179,3
3,1188,2
3,1193,4
3,1196,5
3,1197,5
3,1198,5
3,1199,4
3,1200,4
3,1206,5
3,1208,5
3,1210,5
3,1213,5
3,1214,5
3,1215,4
3,1219,4
3,1220,5
3,1221,5
3,1222,5
3,1225,3
3,1228,3
3,1230,5
3,1240,5
3,1242,5
3,1247,5
3,1257,5
3,1258,5
3,1259,5
3,1261,5
3,1266,5
3,1270,5
3,1272,4
3,1276,5
3,1278,5
3,1288,2
3,1304,5
3,1307,4
3,1321,5
3,1330,3
3,1333,4
3,1345,4
3,1356,5
3,1372,3
3,1373,4
3,1374,5
3,1375,5
3,1376,4
3,1396,3
3,1544,4
3,1584,4
3,1603,4
3,1653,4
3,1674,4
3,1676,5
3,1721,4
3,1762,4
3,1779,3
3,1810,3
3,1831,5
3,1876,4
3,1882,4
3,1909,5
3,1917,4
3,1921,4
4,6,3
4,10,4
4,19,3
4,32,1
4,165,3
4,329,3
4,350,4
4,356,4
4,367,3
4,368,4
4,370,4
4,377,4
4,380,3
4,420,3
4,431,4
4,440,3
4,454,5
4,480,4
4,489,4
4,519,3
4,520,4
4,531,3
4,548,3
4,586,4
4,589,4
4,594,4
4,596,4
4,733,5
5,2,3
5,11,5
5,17,3
5,60,3
5,62,5
5,104,2
5,110,4
5,140,2
5,141,5
5,150,5
5,224,2
5,235,3
5,260,5
5,282,4
5,316,4
5,318,5
5,350,4
5,364,5
5,367,3
5,368,5
5,370,4
5,376,4
5,377,5
5,380,5
5,440,5
5,454,5
5,457,5
5,475,4
5,480,4
5,491,4
5,500,5
5,508,5
5,515,3
5,529,4
5,531,5
5,587,4
5,588,5
5,589,5
5,590,5
5,593,3
5,594,5
5,595,5
5,608,3
5,631,3
5,648,3
5,671,5
5,708,3
5,720,5
5,736,5
5,780,5
5,788,3
5,832,5
5,1028,5
5,1035,5
5,1036,5
5,1042,4
5,1073,2
5,1079,5
5,1080,5
5,1097,5
5,1136,5
5,1196,5
5,1198,5
5,1210,5
5,1291,5
5,1393,5
6,1,5
6,3,3
6,7,5
6,17,5
6,52,5
6,62,5
6,135,3
6,140,4
6,141,5
6,260,4
6,494,4
6,628,4
6,648,5
6,653,4
6,708,4
6,719,3
6,733,3
6,736,2
6,743,3
6,762,3
6,780,3
6,788,4
6,802,3
6,1073,1
7,3,3
7,7,3
7,11,4
7,15,2
7,16,3
7,17,2
7,24,3
7,105,2
7,122,2
7,151,3
7,252,2
7,260,5
7,271,3
7,276,2
7,316,3
7,339,3
7,348,4
7,351,3
7,355,3
7,356,4
7,357,3
7,362,3
7,364,4
7,377,3
7,425,3
7,440,4
7,480,5
7,509,2
7,539,4
7,553,4
7,587,5
7,589,5
7,590,4
7,597,4
7,674,2
7,708,3
7,736,3
7,750,5
7,780,4
7,788,3
7,806,1
7,852,3
7,880,3
7,899,4
7,908,4
7,912,5
7,914,3
7,920,4
7,922,3
7,924,3
7,928,3
7,932,3
7,952,3
7,1017,4
7,1020,3
7,1077,5
7,1094,3
7,1095,1
7,1097,4
7,1101,3
7,1183,3
7,1196,5
7,1206,2
7,1210,5
7,1230,3
7,1247,4
7,1253,4
7,1256,5
7,1259,3
7,1265,4
7,1270,4
7,1271,4
7,1272,4
7,1301,3
7,1307,3
7,1343,3
7,1357,4
7,1385,4
7,1391,2
7,1393,3
7,1408,3
7,1409,2
7,1441,3
7,1449,4
7,1466,3
7,1513,2
7,1517,3
7,1544,4
7,1573,3
7,1580,3
7,1597,3
7,1617,3
7,1674,4
7,1682,2
7,1721,5
7,1777,4
7,1882,3
7,1888,3
7,1894,3
7,1911,4
7,1917,4
7,1932,3
7,1964,3
8,1,4
8,3,5
8,6,3
8,10,4
8,19,1
8,21,4
8,39,3
8,47,5
8,48,4
8,110,5
8,150,4
8,153,3
8,161,4
8,165,3
8,168,3
8,172,1
8,173,3
8,185,2
8,207,4
8,208,3
8,231,3
8,236,4
8,253,4
8,266,5
8,276,3
8,277,4
8,288,5
8,292,4
8,296,5
8,316,2
8,329,3
8,338,2
8,339,4
8,344,3
8,349,5
8,350,4
8,353,3
8,355,2
8,356,5
8,357,4
8,364,4
8,367,3
8,372,4
8,377,4
8,380,4
8,381,4
8,434,5
8,442,4
8,454,4
8,457,5
8,480,4
8,500,4
8,508,3
8,527,5
8,539,4
8,550,4
8,551,4
8,552,3
8,553,5
8,587,4
8,588,3
8,589,5
8,590,5
8,592,4
8,593,5
8,595,3
8,597,5
8,610,4
8,648,5
8,733,4
9,356,4
9,858,5
9,1219,3
9,1911,3
9,1923,4
9,1997,5
10,1,4
10,11,4
10,25,4
10,260,4
10,356,3
10,527,5
10,858,5
10,912,4
10,969,4
10,1094,3
10,1136,4
10,1196,4
10,1198,4
10,1204,3
10,1208,4
10,1210,4
10,1221,5
10,1222,3
10,1230,4
10,1240,4
10,1242,4
10,1247,5
10,1250,4
10,1304,3
10,1387,5
10,1721,4
10,1960,3
